,comment,author,like
69,이야~~오늘도  역시  살발하네요<br>영상이  끝날때  까지  재밌게 봤습니다<br>다음편도  기대되네요  핫팅,이상현,0
70,끼형<br>건대  오호...<br>기가막히네<br>가봐야지 ㅋ,vermut,1
71,앗 !<br>국적이 🇰🇷 이셨구낭 ㅎ<br>김치가 젤 탐나요 ~,50 여성,3
72,주작댓글 강경대응 넘좋아요<br>근데 김사원님이 영상 올리시면 확실히 사람 많이 오는 것 같아요 ㅋㅋㅋ 영상 올리시고 며칠 뒤에 가면 웬만해서는 만석이더라구요,XD,2
73,아 여기 안그래도 예약하기 힘든데 ㅠㅠㅠ,르르그르르그,0
74,집앞인데 진짜손님없는디  솔직히 라뷰해주셨네여   가보진않았지만  쏠리기전에 가보겠습니다,매일머먹띠,0
75,강아지 졸귀ㅋㅋㅋㅋㅋㅋ❤,보리언니,4
76,건너편 육성회비도 한번 가보시죠! 완즈니 괜찮은곳입니다:),Chef_brayden,0
77,영상 기다리느라 완즈니 목빠질 뻔했구요    항상 선추천 후감상인 부분입니다.,꼴데야구만 보면 짖는 맨,0
78,유튜브 가끔 지나가다 봤는데 와 이 비주얼은 구독을 안누를 수 없네요.,민미나,0
79,덕분에 항상 반주와 함께 멋진곳에서 한끼 먹고갑니다. 서울은 김사원과 함께라면 든든합니다.,Dong Young Lee,1
80,알림보고 허벌나게 달려왔는데 역시 해물왕 김사원오라버니,백수밥상,1
81,오지게 맛나보입니다 ~~ㅋ,김약사하루,0
82,왠만한 사람보다 삼합먹을 수 있는 꽃길이가 낫다는 부분이구요,울랄라룰루,2
83,여기 바로앞에 육성회비도 진짜 맛집입니다😭😭,서인범,11
84,진짜 서울은 베트남처럼 오도바이 천지 ㅠ<br>강남 판교 살때는 몰랐는데 은근 스트레스네요,KDH,0
85,"늘 감사히 재밌게 잘보고있습니다.<br>비 엄청 오던 올 여름날, 용산 곰배령도 덕분에 잘 다녀왔습니다.<br>그런데 저기  저집...<br>제가 가도, 카메라 안들이대도 저렇게 잘 나오나요?<br>참, 두달전인가 가보니, 곰배령은 가격이 크게 올랐더군요.<br>1~2천원 올랐으면 말 안합니다.<br>자그마치... (거기까지~~~)<br>해산물과 고기를 엄청 좋아하는지라...<br>꼭 들러보겠습니다~^^;;;",백상현,0
86,김사원님 가을이라그런지 부장님 잔소리가 전어마냥 물이 올랐는데 이럴때 한강가서 쏘주 마시고 싶지만 건대에서 가까운 뚝섬유원지역 앞에 누룽지통닭 가보시기 바랍니다<br>잔소리많이 들으신 날 반차내시거나 일끝나고 가시면 내일도 잔소리한사발 괜찮을수 있습니다<br>맛이 오집니다,워치,1
87,김치만 보고도 와! . . . 여긴 부산 ㅠ.ㅡ,폐인,0
88,안그래도 사람많은데… 여기도 맛있겠네요 👍🏽👍🏽늘 잘 보고있습니다 그리고 엄지손톱은 여전히..,부스트퍼포먼스 [Boost Performance] ,1
89,행님 왜 이제야 오셨습니까….목 빠지는 줄 알았슴다 ㅠㅠ😂,김효인,0
90,김사원님 대학로 저희 동네에 오지게 간판 살발한 노포식당인 혜화칼국수 라는 곳이 있는데 바싹 불고기랑 생선튀김이 유명한 곳입니다. 칼국수는 그닥이구요~ 강추드립니다!,한성드럼,0
91,항상 잘보고 있습니다!! 감사합니다.,강석운,6
92,박상철 드립 오랜만에 좋았네요ㅋㅋㅋㅋㅋㅋ🎉🎉,홍반주,1
93,형님 오랜만에 박상철 너무 좋습니다! 영상 하나에 한번씩은 진짜 박상철로다가 외쳐주셔야 합니다,대발nature🌱,0
94,손님이많아지면 저정도로 절대 신경못쓴다는점<br>생각해주시고요~ㅎㅎ,김헐크,0
95,배고파요..흐엉흐엉<br>김치도 종류별로 묵직하게 나오고 불판위에 재료들.. 파채...,ilikeu(나너조아해),0
96,저 같은 경우는 십수년 간 집안에서 한 마리의 개와 살았기 때문에 괜찮습니다.. 를 생각했다가 혼자 터졌네요ㅋ,송골골,4
97,중간중간 걸쳐나오는 치와와 궁뎅이 영롱한 부분이고여<br>여수삼합을 건대에서 먹을수있다니 개꿀이네여 팟 꾸려서 가야지 룰루룽루,God Ji갓지,1
98,호불호가 없는 해산물들이라 더 좋네요. 가보려고요. 혼자.,패턴을죽이는영어che,1
99,중간중간 치와와 클로즈업 콜라보가 졸라게 웃기네 ㅋㅋㅋㅋㅋ,SEAN in CANADA,1
100,"좋습니다...요번주말 용마,아차산 산행후 뒷풀이는 여기로 정했습니다...감사합니다",라이온,1
101,야밤에 삼합은 너무하십니다😢😢김치종류별로다가먹어보고싶네요,선예,0
102,여기 좀 건대입구역 외곽이라 사람 그렇게 많이 없음! 맛은 보장함!,Foodtube Korea,1
103,김치 비주얼로 끝나는집이군요 츄릅 <br>공기밥2개 까고 시작;;,GTR No.1 [면은 No cut],0
104,내일부턴 진짜 가기 힘들겠는데. .?<br>김치부터가 무슨일이고 ..ㅋㅋ,nabin,0
105,요앞에집 육회도 맛있습니다!!,강상혁,4
106,아 치와와 넘 귀엽다 ..,John,0
107,일단 예약전화 갈길거구요. 남친이 고양이는 키우지만 조만간 저기 다녀 온 순간 제가 개가 될거라 밖에서 자야할거라 생각합니다. 감사합니다 사원쌤님,김보경,1
108,저걸 어찌 다묵었습니까 행님,안타코,0
109,일단 불타는 화양리… 조씁니다~~!,YongWon Lee,1
110,딴것보다 god김치가 먹어보고싶네요..,SH L・MKK,0
111,아 건대 대학원 헛다녔내 ㅠㅜ<br>이걸 모르고 있었다니...,이세인,0
112,영등포 양평동 덕일포차(덕일집) 무조건 좋아할듯! 외관부터 실내 아주머니까지 삼박자. 친구네랑 갔는데 소주 안마시는 친구 와이프도 입문함(3잔),Jooyong Shin,0
113,김세끼님은 진짜 언젠가 같이 한잔하고싶다,이석환,1
114,안돼 ㅠㅠ 제 최애맛집인데 김사원세끼에 올라왔네 큰일이다,NamNam,1
115,여기 안그래도 예약하기 쉬운데 ㅠ,제이비JayB,2
116,조인행닭갈비 한번 가보시길 추천합니답,외쿡인TV,0
117,진짜 개웃기네 ㅋㅋㅋㅋㅋㅋ미쳤나봐 ㅋㅋ,엘드,1
118,김샘 진심으로가고싶네요ᆢ<br>오늘도변함없이 수고하였읍니다^^,강효성,0
119,이분 최소 건대 졸업생 ~~,장용진,1
120,광진구는 맛집이 많네요,2345pok,0
121,저 강쉐이가 저한테만 안 온다면 방문 의사 100%네요ㅋㅋㅋㅋ,Kamuy P,0
122,와우 굿굿 ~<br>항상 감사 하면서 응원합니다 <br>글쓰기는 처으이네요<br>맛집 유튜브 중 최고입니다~,이애옥 여,3
123,소주한잔 하고 싶드아...,일당잡부 최프로,3
124,여기 안그래도 개만 많은데...치와와+술마시면 치와와 친구되는 김사원 등등 ㅎㅎ,UPA,0
125,강아지넘귀엽네용,이이이이이이,1
126,와;;;;; 미쳤다.....,날갓두,0
127,정보) 사실 치와와가 사장님임 <br>가끔 기분좋으면 개껌도 같이 볶아줌,토끼,2
128,ㅋㅋ오지게 재밌게 봣구요 저는 시체모드로,음흉,2
129,순전히 이분 말투 때문에 구독함<br>😆😆😆😆😆😆,Stel E,1
130,망원 형제식당 김사원님 갔다오고나서 함 가볼라 했는데 아직도 못가봤습니다..갈때마다 예약 풀이라고..ㅠ,하인리히,3
131,블루리본은 이제 김사원세끼를 보며 긴장해야죌 것 같아요ㅋ 사원님 혹시 산채정식은 없을까요? 엄마의 최애 음식 사원님 버프받고 싶습니다~!,Leslie Kim,0
132,"토요일 <a href=""https://www.youtube.com/watch?v=c7ExJuB8__8&amp;t=8m30s"">8:30</a>에<br>갓는데도 웨이팅 12팀.. 포기하고 오지게 걸어돌아왓습네다",쩡블리,1
133,이북에 여수라니 맛의 남북화합..,jin in,0
134,김치 떼깔에서 끝났다고 본다… 침 질질 나오네…,스탠리,0
135,치와와 맛집이네요.. <br>개보러함가야겠어요,이진웅,6
136,"바쁘시겠지만, 재생목록을 동네별로 나눠주실순 없을까요?<br>우리동네, 여행갔을때 등등 동네별로 보면 좋을거 같아서요",럭키,0
137,저 묵은지에 파김치만 있어도 막걸리 두통은 그냥 까겠습니다 ㅋ,Jᄀᄒ,1
138,ㅋㅋ 영상 잘봤어요~^^  감사합니다!!!!!♡♡♡♡👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻💘💘💘💘💘💘💘💘💘💘💘❤️❤️❤️❤️❤️✨️❤️❤️✨️,P K,2
139,4분전은 못참지요🙇 살벌하게 감사합니다👍,민나커피,3
140,와 삼합도 삼합인데 김치들이 찢었다..,우진,3
141,아 행님 철판이 완즈니 풀타임선발출장이네요 ㅋㅋ 카타르엔트리에 올라가는게맞다고보고요,구디스,2
142,ㄹㅇ 김치가 미칬다 진짜,서초구이형사,1
143,안그래도 여기...맛있는데...,SY H,3
144,와 여긴 진짜 찐이다,Goumet Drunken,1
145,아 여기 안그래도 사람 많은데...<br>사실 안가봤습니다 검거 한번 당해보고 싶었습니다,김혁래,6
146,오호! 옆동네 고마쎄리 예약 살발하게 한다구요.,반데라쓰,0
147,아니얔아니얔 이거보고 이제 사람 많아질거얔 🤣👍,도쿄언니,0
148,어느새 40만을 앞두고 있네요 ㅎ,원빈,0
149,"와 집 앞인데 사원님 오셨다니 진짜 배신감 살발하게 드네요, 동네방네 소문좀 내고 오세요 진쯔",전 갱이,0
150,목소리 들으니<br>건강은 회복되신거같네요<br>다행입니다 ^^,정연 한,5
151,잠시후 너9리 라면을 먹어야 하는 중생은 웁니다....<br>뭐 그래도 그 아도 나름 해물이 있지만용 ㅋㅋ,초록 귀요미가 좋아,0
152,캬 역시 좋다.,간편한끼,0
153,살발하게 달려왔는데 김사원님 덕분에 못먹고 갈 판입니다😊 사진인증 쌉가능,이창희,0
154,해물 삼합이라 혹했는데 개는 ㅠㅠ 아쉽게도 전 안갈거 같네요 ㅠㅠ,핀투리키오,0
155,"<a href=""https://www.youtube.com/watch?v=c7ExJuB8__8&amp;t=2m30s"">2:30</a> ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개귀엽",장원돌,1
156,아여기진짜 킹뜩이나 예약하기 킹든데;;,pyb2938,0
157,ㅋㅋㅋㅋㅋ 수지타잔 으로 봤네요 너무 재밌어서 헛것이 들리네요,뿌뿌따따,0
158,예약 안돠고 선착순으로 살발하구여  ㅋ 대박나시길,KH Y,1
159,요즘 업로드 시간이 심히 불편했네요. 별일없으시죠? 이번주도 잘보고갑니다.,강석준,2
160,의정부 맛집도 알려주세요,K B,0
161,개까지 살아서 더 제스타일 호호호,볼미세끼,0
162,맛있어 보이긴 하는데 솔직히 가서 먹긴 너무 멀고 귀찮아서 궂이 안가게 되네요. 앞으로도 많이 소개해 주세요,돌고래자리,0
163,우와 와이프랑 가고 싶다. 근데 아이가 돌쟁이.... 언제 가지? ㅠㅠ,Stoner Hearth,0
164,댕댕이 취급 받으셨다구요? 제 반려견이 되기 딱 좋네요🥰,minmin j,0
165,ㅎㅎ이제부터 사람 많아지겠네요~ 그래도 함 가볼께요!!,Imm펭수누나,0
166,오지게 추천박고 갑니다,쭤니럽,2
167,"서울 강서구, 양천구, 금천구, 구로구, 관악구 자료가 너무 빈약합니다~~~ 잦은 방문 요청합니다!!! ㅎㅎ",슬픈디줴,0
168,맛깔나게 보겠슴돠,돌돌이,1
169,영상 잘 봤구요. 이번 영상은 꽃길이만 보이네요 ㅋㅋㅋ,하현준,0
170,이정도로 음식 나오는 속도 강조하시는거면 주문후 최소 30분 이상인데 허허,보라도리,0
171,치와와 때문에라도 꼭 갑니다. 두번갑니다,내마음은빨강,0
172,서대문구도 개척 부탁해요,이재강,0
173,갓김치 먹고싶다... 갓김치,썸바디,0
174,강아지 보러 가야겠어요😊,푸다뱅,0
175,건대에서 3년 살았는데 왜 이사가고나서...ㅠㅠ,엄마대신올리는채널,0
176,막걸리잔이..아쉬운데로 드신거겠죠,김아무개,0
177,서울안살아서 여기 가본적도 없지만 여기는 안돼,Isabella emma,1
178,여기만은 안되는데😂😂,커피,2
179,‘아 안되 가뜩이나 사람 많은데’는 많이 몰릴거처럼 주작해서 한동안 김사원빨 지연시킨 다음에 자기들이 먼저 편하게 방문 하려는 구독자의 책략입니다 ㅋㅋ,Kindle Shop,0
180,김치3종에서 이미 끝났다고 볼수있네요,김가현,0
181,형 영상때문에 담달한국으로 휴가❤,김지헌,2
182,댓글 주작 검거 개웃김ㅋㅋㅋㅋㅋ,씨제이,0
183,이분채널명이 김사원이지 입맛은 김부장님급이라 막상가면 호불호 갈리는데 많음,영수,0
184,이거 뭐 영상마다 살발해서 플레이를 하려면 마음 단디하고 봐야 한데이..,Dylan Hwang,0
185,와씨 미칬다 뜨자마자 봤는데 우리동네네요 무적권 ㄱ,오동뷘,4
186,목줄 없는 반려견 빼고 훌륭한 식당 소개 감사드립니다.,Patrick Jeon,0
187,메뉴 살발하네요 소주 콸콸ㅜㅜ,잘먹는집중이MukbangMan,1
188,김치 3종세트를 시키면<br>해물삼합이 밑반찬으로 깔린다는<br>그 집이군요<br>하아 ᆢ 안그래도 사람 많으 ᆢ ㄱ,unknown -kown,0
189,미쳤다,Sj B,1
190,영상으로 오지게 소주 두병 먹고 가구요,허상,1
191,오 여긴 갈만하겠음 !,박경도,0
192,우리집에선 내가 술취하면 개다!!!,Rammie Lee,1
193,"<a href=""https://www.youtube.com/watch?v=c7ExJuB8__8&amp;t=3m45s"">3:45</a> 이 집 안 그래도 사람 많은데.. 라고 쓰고 있었습니다.",egg boiled,2
194,치와와만지러 한번가야겠다,냉동인간,1
195,김치  호불호가 좀갈리는편인가요???,나다가,0
196,"<a href=""https://www.youtube.com/watch?v=c7ExJuB8__8&amp;t=4m16s"">4:16</a> 이겈ㅋㅋㅋㅋ 펜션 댓글 아직도 기억나넼ㅋㅋㅋㅋㅋ",유니콘항문전도사,0
197,치와와 vs. 김사원<br>누가 더 댕댕이가 되었는가,코덱스,0
198,안녕하십니까?연휴 잘 보내셨는지요?,승훈 한,3
199,지주올려주세요 형님.. 인생 낙입니다,킴맨,3
200,사랑합니다,킴맨,1
201,이제부터 진짜로 자주 올릴게요 ㅋㅋㅋ <br>지난주에도 사정이 있었네요 ㅠㅠ 감사합니다,김사원세끼,2
202,잘봤스ㅂ디다 이미취함.. 종로 남포면옥도 가보셨나요? 제 남자친구가 금주한지 몇년째인데 여기 전골 국물 먹고 바로 소주 한병 시켜서 혼자 먹었습니다,Ji hyeon Park,0
203,김치 진짜 살발하네,균형,0
204,아니 여기는 퇴근길에 맨날 보는,지수,0
205,주작 댓글들 진짜 검거필요합니다<br>신경좀 써야하는 부분입니다,오론스톤,1
206,와.여긴 지린다 진짜.<br>맨날 똑같은 음식 지겨운데 비쥬얼만으로도 신선해!!!,H H,0
207,아니 예의바른 치와와라니;; 저거 치와와 아닌거 같은데,Ssong,2
208,김치만 봐도 군침이 싹도노,yj choi,1
209,영상에 2인 소짜로 시키신건가요??!,이재경,0
210,신돈이누나야 씨다씨 ㅋㅋ,배진우,2
211,아 여기 안그래도 사람 많은데ㅠ,제이크,0
212,오른손 상처는 부장님께 영상 걸려서 맞으신건가요?ㅎㅎ,방랑식객,0
213,또 우리집근처아니지..,이민섭,0
214,어쩐지 오늘 웨이팅이 갑자기 엄청 길어졌더라니..😢,술기로운 망고,0
215,형 좋음,HAH_HappyHabitats,0
216,안 그래도 엠뷸란스 불러야 되는데…,YJ SEO,1
217,건대쪽이면 거기 포장마차 엄청 저렴한데 있는데...안주가 5~6천원...구석진곳에 있는... 몇몇 오지는 곳들도 많았는데 코로나 때문에 문닫음...ㅠ,Li마스터,0
218,아..여기 소문나면 안되는데 ( 사실 안 가봄 ㅋㅋㄹㅃㅃ ),으아,4
219,치와와추추 ♥️♥️,sojung hong,0
220,제발 인스타 아이디 만드세요!! ㅠㅠ,맛튜브,0
221,오지고 지리고,유준혁,2
222,"4합아닙니까? 삼겹살, 갑오징어, 관자, 문어...ㅋ",제이크,0
223,ㅜㅜ 😭 이집은 안돼요,킹버거,0
224,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 말하는 개 왤캐 웃기져 아,명징한,0
225,아 여기 개맛있는데 올라왔네 오바다...,박성현,1
226,감사원님~ 빨리 댓글 감사 들어가시죠~,강남뽑기연구소장,0
227,5분55초간 행벅했습니당^^~♡,17살 노견도 이쁘다,0
