id,terrace,drinking,meal,lunch,dinner,cost_effective,classy,mood,noisy,quiet,real_local,tags
32,0,0,0,2,4,4,0,0,2,0,0,"혼밥,남자끼리,가족외식,회식,아담한,숨은맛집,무료주차,대형룸,예약필요,"
33,0,3,1,4,3,7,0,0,1,1,2,"아이동반,혼밥,가족외식,실버푸드,숨은맛집,캐주얼한,주차불가,대형룸,"
34,0,3,6,8,6,9,0,0,3,0,1,"회식,가족외식,혼밥,데이트,기념일,접대,깔끔한,이국적/이색적,캐주얼한,숨은맛집,지역주민이 찾는,개별룸,대형룸,역사가오래된"
35,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,연인과같이가면좋은,외국인접대에좋은,테라스가있는,연중무휴"
36,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,연인과같이가면좋은"
37,0,4,1,1,3,5,0,0,3,0,0,"횟집,회식,숨은맛집,"
38,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,가족과외식하기좋은
40,0,0,0,0,0,0,0,0,0,0,0,연중무휴
41,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
42,0,3,2,4,4,5,0,0,1,0,0,"혼밥,회식,모임,지역주민이 찾는,숨은맛집,캐주얼한,아담한,이국적/이색적,오래된집,허름한,"
43,0,0,0,2,1,3,0,0,0,0,3,"역사가오래된,혼밥,기념일,아침식사,데이트,아이동반,가족외식,숨은맛집,비대면칸막이,이케아아기식탁의자,"
44,0,5,3,3,6,8,0,0,3,0,1,"데이트,회식,간식,혼밥,모임,가족외식,남자끼리,야식,숨은맛집,허름한,아담한,이국적/이색적,지역주민이 찾는,오래된집,캐주얼한,"
45,0,0,0,0,0,0,0,0,0,0,0,"아침을먹을수있는,연중무휴"
46,0,0,0,0,0,0,0,0,0,0,0,"역사가오래된,아침을먹을수있는"
47,1,19,13,17,35,49,0,0,19,0,3,"가족외식,회식,데이트,기념일,숨은맛집,캐주얼한,줄서서먹는,깔끔한,무료주차,포장가능,주차불가,"
48,1,6,1,0,6,7,0,0,6,0,0,"노포식당,노포래퍼,노포 맛집,노포집,노포 식당,서울맛집,서울 맛집,서울먹방,먹방데이트,서울노포,맛집소개,맛집소개 유튜버,맛집 유튜버,서울 맛집 유튜버,서울 맛집 소개,술먹방,항정살,용산구 맛집,삼각지 맛집,몽탄,몽탄 웨이팅,돼지고기,삼겹살,갈비,삼각지역 맛집,최자로드,최자 맛집,서울 고기 맛집,양념 갈비 맛집,김치볶음밥 맛집,데이트,친구모임,회식,캐주얼한,지역주민이 찾는,숨은맛집,허름한,정신없음,아담한,현장대기필요,주차불가,저녁에만영업하는"
49,0,0,0,0,0,0,0,0,0,0,0,"비즈니스다이닝에좋은,프라이빗룸이있는"
50,0,0,2,4,3,2,0,0,0,0,0,"가족외식,데이트,실버푸드,기념일,혼밥,깔끔한,캐주얼한,주차불가,무료주차,가족과외식하기좋은,역사가오래된,외국인접대에좋은"
51,0,5,3,0,4,4,0,0,3,0,1,"회식,접대,숨은맛집,"
52,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,비즈니스다이닝에좋은,프라이빗룸이있는"
53,0,0,0,0,0,0,0,0,0,0,0,가족과외식하기좋은
54,0,3,2,0,4,7,0,0,2,0,2,"가족외식,회식,데이트,캐주얼한,지역주민이 찾는,주차불가,"
55,0,3,0,0,2,2,0,0,1,0,0,"남자들끼리 술마실때,지역주민이 찾는,옛날 고기집 분위기,"
56,0,0,0,0,0,0,0,0,0,0,0,"술한잔하기좋은,회식하기좋은"
57,0,0,0,0,0,0,0,0,0,0,0,"역사가오래된,술한잔하기좋은,새벽까지영업하는"
58,0,0,0,0,0,0,0,0,0,0,0,"역사가오래된,회식하기좋은"
59,0,3,5,32,16,26,0,0,11,1,3,"가족외식,혼밥,데이트,아이동반,실버푸드,다이어트식단,숨은맛집,지역주민이 찾는,캐주얼한,깔끔한,아담한,오래된집,복고풍,중년이상이많은,무료주차,주차불가,현장대기필요,공영주차장 이용가느,1시간 쿠폰,"
60,0,0,0,9,3,12,0,0,0,1,6,"혼밥,데이트,가족외식,아침식사,캐주얼한,주차불가,"
61,0,2,0,1,4,7,0,0,2,0,1,"데이트,지역주민이 찾는,주차불가,"
62,0,3,3,4,4,4,0,0,0,0,2,"혼밥,실버푸드,회식,가족외식,데이트,캐주얼한,숨은맛집,깔끔한,발렛주차,개별룸,"
63,0,4,3,7,6,14,0,0,2,0,5,"혼밥,실버푸드,아침식사,회식,간식,숨은맛집,캐주얼한,주차불가,"
64,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,연인과같이가면좋은,현지인셰프가있는,연중무휴"
65,0,0,0,0,0,0,0,0,0,0,0,"역사가오래된,연중무휴"
66,0,0,0,0,0,0,0,0,0,0,0,"노포식당,노포래퍼,노포 맛집,노포집,노포 식당,허영만 가맥집,서울 가맥집,허영만의 백반기행,허영만 식객,허영만 맛집,허영만 먹방,허영만 백반,허영만 서울,서울맛집,서울 맛집,가성비 맛집,가성비,서울 가성비 맛집,허영만 문래 맛집,허영만 문래동,백반기행 맛집,백반기행 문래동,문래동 맛집,문래역 맛집,문래맛집,서울먹방,먹방데이트,서울노포,영등포구 맛집,오리고기,오감탕,볶음밥,쭈꾸미,식객 허영만의 백반기행,식객 허영만,초복,중복,말복,복날 음식,맛집소개,맛집소개 유튜버,맛집 유튜버,서울 맛집 유튜버,서울 맛집 소개,"
67,0,4,1,0,2,7,0,0,2,0,2,"데이트,회식,가족외식,숨은맛집,캐주얼한,이촌동 맛집,이촌역 맛집,용산구 맛집,서울 맛집,서울맛집,서울 가성비 맛집,삼겹살,더덕,부추무침,막걸리,막걸리 맛집,서울 막걸리 맛집,전참시 이영자 맛집,전참시 이영자 이촌동 맛집,이영자 맛집,이영자 이촌동,이영자 이촌종합시장,"
68,0,1,0,0,0,0,0,0,1,0,0,0
69,0,3,0,0,4,9,0,0,4,0,0,"회식,남자끼리,지역주민이 찾는,허름한,중년이상이많은,테이크아웃,"
70,0,0,4,7,6,5,1,0,1,2,1,"혼밥,데이트,가족외식,회식,국시,돈아까워요 적합하지 않음,떡만두국,아침식사,국시집,기념일,만두,아이동반,국수집,캐주얼한,깔끔한,격식있는,예쁜,주차가능,"
71,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
72,1,1,3,3,3,2,3,0,1,0,0,"접대,가족외식,기념일,데이트,회식,혼밥,격식있는,깔끔한,예쁜,발렛주차,무료주차,대형룸,개별룸,비즈니스다이닝에좋은,외국인접대에좋은,연중무휴,프라이빗룸이있는"
73,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,새벽까지영업하는
75,0,0,0,3,1,3,0,0,0,1,0,"혼밥,가족외식,점심식사 가족외식,숨은맛집,주차불가,없으,"
76,0,4,3,2,3,6,0,0,2,1,1,"혼밥,회식,가족외식,기념일,깔끔한,캐주얼한,지역주민이 찾는,이국적/이색적,숨은맛집,발렛주차,"
77,0,0,0,7,3,6,0,0,1,0,3,"가족외식,혼밥,숨은맛집,캐주얼한,깔끔한,주차불가,"
78,1,12,2,1,12,20,0,0,12,0,1,"데이트,회식,남자끼리,연인,여자끼리,친구,다이어트식단,캐주얼한,지역주민이 찾는,허름한,노포,숨은맛집,현장대기필요,무료주차,"
79,0,0,0,0,0,0,0,0,0,0,0,연중무휴
80,0,5,6,19,10,35,0,0,10,0,5,"혼밥,아침식사,가족외식,남자끼리,데이트,실버푸드,여자끼리,간식,아이동반,숨은맛집,캐주얼한,중년이상이많은,허름한,오래된집,지역주민이 찾는,아담한,이국적/이색적,깔끔한,토속적인,주차불가,좌식,"
81,1,5,1,1,6,7,0,0,5,0,0,"회식,데이트,가족외식,경관/야경이좋은,"
82,0,3,0,13,9,14,0,0,9,0,0,"남자끼리,야식,간식,패스,허름한,오래된집,아담한,지역주민이 찾는,지저분,숨은맛집,현장대기필요,주차불가,좌식,"
83,1,6,4,1,10,5,0,0,10,0,1,"회식,데이트,접대,실버푸드,지역주민이 찾는,캐주얼한,무료주차,"
84,0,6,5,0,6,4,0,0,5,0,0,"데이트,숨은맛집,캐주얼한,주차불가,"
85,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
86,0,0,0,0,0,0,0,0,0,0,0,"결혼기념일에가면좋은,비즈니스다이닝에좋은,연인과같이가면좋은,와인리스트가좋은,인테리어가좋은,테라스가있는"
87,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,연인과같이가면좋은,테라스가있는,현지인셰프가있는"
88,0,0,0,5,3,7,0,0,1,1,0,"혼밥,데이트,가족외식,아이동반,기념일,배달,오래된집,깔끔한,아담한,허름한,예쁜,지역주민이 찾는,토속적인,숨은맛집,없음,무료주차,"
89,0,0,1,6,5,3,1,0,0,1,1,"가족외식,접대,혼밥,아이동반,데이트,깔끔한,중년이상이많은,오래된집,숨은맛집,아담한,캐주얼한,규모가큰,지역주민이 찾는,발렛주차,가게앞에 잠시 주차가능,무료주차,역사가오래된,프라이빗룸이있는"
90,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
91,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,가족과외식하기좋은
93,0,0,0,0,0,0,0,0,0,0,0,"비즈니스다이닝에좋은,회식하기좋은"
94,0,4,2,0,3,2,0,0,3,0,1,"데이트,회식,"
95,0,9,7,27,21,38,0,0,7,0,6,"혼밥,회식,데이트,아침식사,남자끼리,배달,옛날맛,아이동반,여자끼리,캐주얼한,숨은맛집,지역주민이 찾는,오래된집,격식있는,아담한,허름한,주차불가,애완동물동반,주차안됨,대형룸,"
96,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0
98,0,4,1,2,5,10,0,0,2,0,1,"회식,가족외식,지역주민이 찾는,주차불가,"
99,0,2,1,2,2,3,0,0,0,1,1,"회식,깔끔한,숨은맛집,캐주얼한,개별룸,무료주차,대형룸,"
100,0,0,0,0,0,0,0,0,0,0,0,"연인과같이가면좋은,인테리어가좋은,점심뷔페를하는,호텔레스토랑,아침을먹을수있는,연중무휴,아침뷔페를하는"
101,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,소개팅하기좋은,연인과같이가면좋은,연중무휴"
102,0,0,0,0,0,0,0,0,0,0,0,"소개팅하기좋은,연인과같이가면좋은,브런치메뉴가있는,테라스가있는"
103,0,6,0,0,5,10,0,0,5,0,5,"회식,친구모임,숨은맛집,캐주얼한,깔끔한,"
104,0,0,0,0,0,0,0,0,0,0,0,"연인과같이가면좋은,술한잔하기좋은"
105,0,2,1,0,3,2,0,0,0,0,0,"데이트,숨은맛집,캐주얼한,지역주민이 찾는,무료주차,"
106,0,0,0,0,0,0,0,0,0,0,0,"술한잔하기좋은,연중무휴"
107,0,1,3,1,2,3,0,0,2,0,2,"데이트,숨은맛집,캐주얼한,지역주민이 찾는,"
108,0,3,1,8,4,6,0,0,0,0,1,"가족외식,아침식사,데이트,회식,추억을먹는곳,숨은맛집,깔끔한,지역주민이 찾는,발렛주차,무료주차,"
109,0,0,0,0,0,0,0,0,0,0,0,가족과외식하기좋은
110,0,0,0,0,0,0,0,0,0,0,0,가족과외식하기좋은
111,0,0,0,2,2,4,0,0,0,0,0,"혼밥,간식,지역주민이 찾는,"
112,0,2,1,4,4,6,3,0,0,0,0,"데이트,기념일,가족외식,접대,혼밥,무료주차,발렛주차,"
113,0,12,6,11,11,23,0,0,2,0,6,"혼밥,아침식사,가족외식,회식,데이트,간식,실버푸드,캐주얼한,숨은맛집,지역주민이 찾는,깔끔한,무료주차,주차불가,발렛주차,"
114,0,3,1,2,5,7,0,0,1,0,1,"아침식사,가족외식,혼밥,실버푸드,오래된집,숨은맛집,지역주민이 찾는,허름한,토속적인,24시간영업,주차불가,무료주차,좌식,"
115,0,6,3,1,7,8,0,0,5,0,0,"회식,데이트,가족외식,모임,남자끼리,야식,여자끼리,숨은맛집,규모가큰,캐주얼한,오래된집,지역주민이 찾는,"
116,0,0,0,0,0,0,0,0,0,0,0,"술한잔하기좋은,새벽까지영업하는,저녁에만영업하는"
117,0,0,1,5,1,5,1,0,1,0,1,"데이트,아침식사,가족외식,중년식당,숨은맛집,주차불가,"
118,0,2,5,6,3,6,0,0,1,0,0,"회식,아침식사,가족외식,차모임,지역주민이 찾는,무료주차,개별룸,"
119,0,0,0,0,0,0,0,0,0,0,0,"서울 횟집 맛집,서울 선어회 맛집,가성비 맛집,서울맛집,서울 맛집,서울 가성비 맛집,서울먹방,먹방데이트,맛집 소개,맛집 소개 유튜버,서울 맛집 유튜버,서울 맛집 소개,맛집소개,맛집소개 유튜버,맛집 유튜버,술먹방,가심비 맛집,갓성비 맛집,서울 가성비,서울 회 맛집,숙성회,회,회 맛집,강남 맛집,강남 노포,강남 스시 맛집,서울 초밥 맛집,서울 스시,서울 오마카세,강남 오마카세 맛집,노포,노포 맛집,스시 노포,강남구 맛집,신사역 맛집,신사 맛집,비즈니스다이닝에좋은,연인과같이가면좋은,프라이빗룸이있는,카운터석이있는"
120,0,0,0,0,0,0,0,0,0,0,0,아침을먹을수있는
121,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
122,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
123,0,0,0,0,0,0,0,0,0,0,0,"역사가오래된,연중무휴"
124,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,결혼기념일에가면좋은,비즈니스다이닝에좋은,소개팅하기좋은,연인과같이가면좋은,스타셰프가운영하는,정원이나산책로가있는"
125,0,4,1,0,4,7,0,0,3,0,0,"야식,회식,캐주얼한,지역주민이 찾는,허름한,숨은맛집,아담한,"
126,0,0,2,4,2,4,0,0,0,0,2,"혼밥,데이트,캐주얼한,깔끔한,지역주민이 찾는,숨은맛집,"
127,0,0,0,0,0,0,0,0,0,0,0,아침을먹을수있는
128,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,연인과같이가면좋은,외국인접대에좋은"
129,0,3,0,0,1,4,0,0,1,0,1,"회식,데이트,캐주얼한,왕십리 맛집,왕십리맛집,성동구맛집,성동구 맛집,행당시장 맛집,행당시장맛집,행당시장,한양대 맛집,가성비 맛집,노포식당,노포 맛집,노포집,노포 식당,서울맛집,서울 맛집,서울 가성비 맛집,가맥집,서울먹방,먹방데이트,서울노포,실내포차,포차맛집,서울 실내포차,서울 포차 맛집,오래된 맛집,왕십리 오래된 맛집,왕십리 오래된 집,왕십리 노포식당,왕십리 노포,행당시장 노포,행당시장 노포식당,행당시장 노포 맛집,왕십리 치킨 맛집,왕십리 치킨집,왕십리 치킨,노상의 계절,노상 맛집,서울 노상 맛집,행당동 맛집,행당동맛집,맛집 유튜버,맛집 소개,맛집 소개 유튜버,서울 맛집 소개,서울 맛집 유튜버,"
130,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,연인과같이가면좋은,외국인접대에좋은"
131,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
132,0,0,2,14,15,34,0,0,9,0,12,"간식,혼밥,데이트,가족외식,디저트,새벽,야식,배달심부름,아이동반,캐주얼한,숨은맛집,지역주민이 찾는,허름한,아담한,24시간영업,주차불가,"
133,0,0,0,0,0,0,0,0,0,0,0,"노포식당,노포래퍼,노포 맛집,노포집,노포 식당,6시내고향 노포,을지로 가맥집,백반기행 가맥집,허영만 가맥집,서울 가맥집,허영만의 백반기행,허영만 식객,허영만 맛집,허영만 먹방,허영만 백반,허영만 서울,허영만 종로맛집,허영만 을지로맛집,서울맛집,을지로 맛집,서울 맛집,을지로 4가 맛집,가성비 맛집,맛집 예약,가성비,서울 가성비 맛집,"
134,0,0,0,0,0,0,0,0,0,0,0,"연인과같이가면좋은,새벽까지영업하는"
135,0,0,0,0,0,0,0,0,0,0,0,"연인과같이가면좋은,채식주의메뉴가있는,현지인셰프가있는"
136,0,0,0,0,0,0,0,0,0,0,0,연중무휴
137,0,0,0,0,0,0,0,0,0,0,0,"결혼기념일에가면좋은,비즈니스다이닝에좋은,역사가오래된,술한잔하기좋은,와인리스트가좋은,인테리어가좋은,전망이좋은,정원이나산책로가있는,호텔레스토랑,아침을먹을수있는,연중무휴,프라이빗룸이있는"
138,0,0,0,0,0,0,0,0,0,0,0,가족과외식하기좋은
139,0,0,0,0,0,0,0,0,0,0,0,"역사가오래된,연중무휴"
140,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
141,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
142,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,비즈니스다이닝에좋은,연인과같이가면좋은,외국인접대에좋은,정원이나산책로가있는,호텔레스토랑,연중무휴,프라이빗룸이있는"
143,0,0,0,0,0,0,0,0,0,0,0,"역사가오래된,연중무휴"
144,0,3,1,3,2,5,0,0,3,0,1,"회식,간식,혼밥,데이트,캐주얼한,숨은맛집,이국적/이색적,주차불가,"
145,0,0,0,0,0,0,0,0,0,0,0,"비즈니스다이닝에좋은,프라이빗룸이있는"
146,0,0,1,6,5,4,0,0,1,0,0,"혼밥,숨은맛집,지역주민이 찾는,캐주얼한,"
147,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
148,0,1,0,0,1,1,0,0,1,0,0,역사가오래된
149,0,3,1,0,1,3,0,0,1,0,1,"회식,이국적/이색적,"
150,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
151,0,1,0,5,2,4,0,0,2,0,1,"가족외식,데이트,혼밥,캐주얼한,지역주민이 찾는,주차불가,"
152,0,1,3,3,1,1,1,0,1,1,0,"가족외식,회식,대형룸,무료주차,개별룸,"
153,0,0,0,0,0,0,0,0,0,0,0,가족과외식하기좋은
154,0,0,0,0,0,0,0,0,0,0,0,"아침을먹을수있는,연중무휴"
155,0,0,1,2,3,0,1,0,0,2,0,"가족외식,데이트,접대,지역주민이 찾는,숨은맛집,깔끔한,이국적/이색적,개별룸,발렛주차,무료주차,가족과외식하기좋은,비즈니스다이닝에좋은,연인과같이가면좋은,외국인접대에좋은,프라이빗룸이있는"
156,0,0,0,0,0,0,0,0,0,0,0,"아침을먹을수있는,연중무휴"
157,0,0,0,0,0,0,0,0,0,0,0,가족과외식하기좋은
158,0,0,0,0,0,0,0,0,0,0,0,"서울 텐동 맛집,용산 맛집,용산구 맛집,남영역 맛집,남영동 맛집,숙대입구 맛집,숙대 맛집,숙대입구역 맛집,최자로드,최자 맛집,최자 동네,최자 맛집 동네,가성비 맛집,노포식당,노포 맛집,노포집,노포 식당,서울맛집,서울 맛집,서울 가성비 맛집,서울먹방,먹방데이트,서울노포,오래된 맛집,오래된 집,오래된 가게,맛집 소개,맛집 소개 유튜버,서울 맛집 유튜버,서울 맛집 소개,돼지고기 맛집,서울 돼지고기 맛집,서울 고기 맛집,맛집소개,맛집소개 유튜버,맛집 유튜버,술먹방,가심비 맛집,갓성비 맛집,서울 가성비,재상이 김치,"
159,0,0,0,3,0,3,0,0,0,0,1,"아침식사,가족외식,캐주얼한,주차불가,무료주차,"
160,0,8,16,23,19,13,2,0,6,3,1,"가족외식,회식,혼밥,접대,데이트,아침식사,실버푸드,기념일,캐주얼한,깔끔한,격식있는,지역주민이 찾는,한옥스타일,토속적인,매우전통적인,노포,옛스러운,이국적/이색적,개별룸,대형룸,주차불가,유료주차,역사가오래된,프라이빗룸이있는"
161,0,0,0,0,0,0,0,0,0,0,0,"노포식당,노포래퍼,노포 맛집,노포집,노포 식당,서울맛집,서울 맛집,서울먹방,먹방데이트,서울노포,맛집소개,맛집소개 유튜버,맛집 유튜버,서울 맛집 유튜버,서울 맛집 소개,술먹방,가성비 맛집,가심비 맛집,갓성비 맛집,서울 가성비,매운탕,민물매운탕,매운탕 맛집,광진구 맛집,건대 맛집,건대입구 맛집,건대입구역 맛집,건대 노포,자양동 노포,화양동 노포,성수역 노포,성수역 맛집,건대입구 노포,국물 맛집,국물 요리,"
162,0,0,0,0,0,0,0,0,0,0,0,연중무휴
163,0,0,0,0,0,0,0,0,0,0,0,아침을먹을수있는
164,0,4,3,1,6,7,0,0,2,0,2,"데이트,회식,가족외식,캐주얼한,주차불가,"
165,0,20,5,0,7,12,0,0,11,0,4,"회식,데이트,가족외식,기념일,캐주얼한,숨은맛집,지역주민이 찾는,사장님이친절한,주차불가,"
166,0,2,2,0,4,0,2,0,0,0,0,"접대,가족외식,데이트,회식,모임,기념일,깔끔한,캐주얼한,지역주민이 찾는,개별룸,발렛주차,좌식,예약필요,"
167,0,0,0,0,0,0,0,0,0,0,0,0
168,0,2,0,0,2,2,0,0,2,0,2,"데이트,가족외식,회식,캐주얼한,역사가오래된,새벽까지영업하는,연중무휴"
169,0,2,4,2,4,4,0,0,3,0,1,"데이트,회식,가족외식,기념일,캐주얼한,숨은맛집,지역주민이 찾는,격식있는,"
170,0,0,0,7,6,12,0,0,2,0,3,"혼밥,간식,데이트,아이동반,지역주민이 찾는,숨은맛집,캐주얼한,가게부근주차가능,주차불가,"
171,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,"소개팅하기좋은,연인과같이가면좋은,연중무휴"
173,0,1,0,1,2,5,0,0,2,0,2,"아침식사,데이트,숨은맛집,지역주민이 찾는,"
174,1,1,2,1,4,6,0,0,3,0,2,"아이동반,회식,숨은맛집,무료주차,"
175,0,1,0,1,3,3,0,0,0,0,0,"캐주얼한,지역주민이 찾는,"
176,0,0,0,2,1,3,0,0,0,0,0,"혼밥,아침식사,"
177,0,0,0,3,1,1,0,0,1,0,0,"혼밥,여자끼리,캐주얼한,숨은맛집,오래된집,주차불가,"
178,0,2,3,9,7,20,0,0,3,0,6,"간식,데이트,혼밥,아이동반,가족외식,실버푸드,캐주얼한,숨은맛집,주차불가,"
179,0,0,0,0,0,0,0,0,0,0,0,가족과외식하기좋은
180,0,0,1,6,5,8,0,0,0,0,1,"혼밥,아침식사,숨은맛집,깔끔한,오래된집,"
181,0,0,1,19,18,41,0,0,5,0,4,"혼밥,가족외식,데이트,남자끼리,5500,여자끼리,아이동반,간식,배달,수유맛집,실버푸드,지역주민이 찾는,숨은맛집,캐주얼한,빈티지,깔끔한,가성비,오래된집,무료주차,주차불가,기사식당앞공유쥬차,가게앞에,좌식,"
182,0,0,0,0,0,0,0,0,0,0,0,가족과외식하기좋은
183,0,2,2,3,2,5,0,0,2,0,0,"회식,가족외식,데이트,숨은맛집,캐주얼한,주차불가,"
184,0,6,3,6,6,6,0,0,7,1,3,"혼밥,데이트,기념일,남자끼리,접대,회식,여자끼리,캐주얼한,숨은맛집,깔끔한,격식있는,이국적/이색적,현장대기필요,"
185,0,0,0,0,0,0,0,0,0,0,0,술한잔하기좋은
186,0,1,1,3,3,4,0,0,2,0,0,"회식,혼밥,가족외식,지역주민이 찾는,캐주얼한,"
